Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
currentequipmentdays,"(-5.001, 89.0]",-0.4802869,0.19952935,-8.768505,0.292894,1
currentequipmentdays,"(184.0, 229.0]",-0.36849323,0.21798548,-6.9228916,0.292894,1
currentequipmentdays,"(229.0, 283.0]",-0.36444187,0.21867688,-6.8537517,0.292894,1
currentequipmentdays,"(283.0, 330.0]",0.020081595,0.29134303,0.4128635,0.292894,1
currentequipmentdays,"(330.0, 384.0]",0.19017997,0.32766354,4.0449142,0.292894,1
currentequipmentdays,"(384.0, 464.0]",0.15205094,0.31931952,3.2105117,0.292894,1
currentequipmentdays,"(464.0, 577.0]",0.20236266,0.33035296,4.313856,0.292894,1
currentequipmentdays,"(577.0, 733.0]",0.22889721,0.33624914,4.9034743,0.292894,1
currentequipmentdays,"(733.0, 1812.0]",0.38313496,0.37149307,8.427867,0.292894,1
currentequipmentdays,"(89.0, 184.0]",-0.313947,0.22742674,-5.978766,0.292894,1
overageminutes,"(-0.001, 3.0]",-0.0680308,0.2734909,-1.3723493,0.073097646,10
overageminutes,"(116.0, 4321.0]",0.17971767,0.32536286,3.8148463,0.073097646,10
overageminutes,"(12.0, 28.0]",-0.018892528,0.28336227,-0.3852129,0.073097646,10
overageminutes,"(28.0, 57.0]",0.04117535,0.2957172,0.8502811,0.073097646,10
overageminutes,"(3.0, 12.0]",-0.035337456,0.28003475,-0.71796477,0.073097646,10
overageminutes,"(57.0, 116.0]",0.10648631,0.3094984,2.2284002,0.073097646,10
monthlyminutes,"(-0.001, 51.0]",0.19623342,0.32899848,4.1784077,0.06656514,11
monthlyminutes,"(1196.9, 7359.0]",-0.097361706,0.26770192,-1.9512475,0.06656514,11
monthlyminutes,"(120.0, 194.0]",0.04915889,0.29738262,1.0168225,0.06656514,11
monthlyminutes,"(194.0, 274.0]",0.03188565,0.29378614,0.657174,0.06656514,11
monthlyminutes,"(274.0, 365.0]",-0.004167899,0.2863619,-0.08524954,0.06656514,11
monthlyminutes,"(365.0, 476.0]",-0.027062139,0.2817062,-0.55081844,0.06656514,11
monthlyminutes,"(476.0, 620.7]",-0.048068475,0.2774752,-0.97391903,0.06656514,11
monthlyminutes,"(51.0, 120.0]",0.08111482,0.30410263,1.6888231,0.06656514,11
monthlyminutes,"(620.7, 836.8]",-0.054695413,0.27614856,-1.1065841,0.06656514,11
monthlyminutes,"(836.8, 1196.9]",-0.041999836,0.27869353,-0.85208714,0.06656514,11
percchangerevenues,"(-0.3, 0.0]",-0.007175224,0.28574774,-0.14666617,0.05578282,12
percchangerevenues,"(-1.2, -0.3]",-0.030063778,0.28109923,-0.61151683,0.05578282,12
percchangerevenues,"(-10.8, -4.2]",-0.021025281,0.2829294,-0.42850077,0.05578282,12
percchangerevenues,"(-1107.701, -27.8]",-0.1421891,0.2590061,-2.8208284,0.05578282,12
percchangerevenues,"(-27.8, -10.8]",-0.025675291,0.28198695,-0.52274466,0.05578282,12
percchangerevenues,"(-4.2, -1.2]",-0.024267491,0.28227207,-0.49423277,0.05578282,12
percchangerevenues,"(0.0, 0.4]",-0.007896481,0.28560054,-0.16138554,0.05578282,12
percchangerevenues,"(0.4, 4.3]",-0.004170652,0.28636134,-0.08530617,0.05578282,12
percchangerevenues,"(21.9, 2483.5]",0.14216265,0.3171741,2.9959707,0.05578282,12
percchangerevenues,"(4.3, 21.9]",0.09755882,0.30759373,2.0379333,0.05578282,12
droppedblockedcalls,"(-0.001, 1.3]",-0.061372902,0.2748158,-1.23986,0.05574794,13
droppedblockedcalls,"(1.3, 2.3]",-0.055952467,0.27589738,-1.1317015,0.05574794,13
droppedblockedcalls,"(10.3, 15.0]",0.05056051,0.29767558,1.0461181,0.05574794,13
droppedblockedcalls,"(15.0, 24.3]",0.07837539,0.30352324,1.6308844,0.05574794,13
droppedblockedcalls,"(2.3, 3.7]",-0.04884047,0.27732044,-0.9893954,0.05574794,13
droppedblockedcalls,"(24.3, 411.7]",0.096432984,0.30735403,2.0139635,0.05574794,13
droppedblockedcalls,"(3.7, 5.3]",-0.04296232,0.27850005,-0.8714348,0.05574794,13
droppedblockedcalls,"(5.3, 7.7]",-0.011949291,0.28477433,-0.24400651,0.05574794,13
droppedblockedcalls,"(7.7, 10.3]",0.027681008,0.2929145,0.57001114,0.05574794,13
inboundcalls,"(-0.001, 0.3]",0.06116947,0.2998983,1.2683898,0.05273988,14
inboundcalls,"(0.3, 1.0]",0.04838921,0.29722184,1.0007441,0.05273988,14
inboundcalls,"(1.0, 2.0]",0.0062568765,0.288497,0.12826025,0.05273988,14
inboundcalls,"(12.0, 22.7]",-0.095173284,0.26813114,-1.9083261,0.05273988,14
inboundcalls,"(2.0, 4.0]",-0.014191517,0.28431788,-0.28965175,0.05273988,14
inboundcalls,"(22.7, 519.3]",-0.05880581,0.2753277,-1.1886686,0.05273988,14
inboundcalls,"(4.0, 7.0]",-0.02251322,0.28262758,-0.45868158,0.05273988,14
inboundcalls,"(7.0, 12.0]",-0.05753443,0.27558145,-1.1632949,0.05273988,14
avg_call_duration,"(-0.001, 5.981]",0.16132599,0.32133886,3.4124465,0.051244423,15
avg_call_duration,"(10.492, 12.923]",-0.024245642,0.28227648,-0.4937917,0.051244423,15
avg_call_duration,"(12.923, 15.989]",-0.02429889,0.2822657,-0.49487054,0.051244423,15
avg_call_duration,"(15.989, 20.0]",-0.025018223,0.28212,-0.5094409,0.051244423,15
avg_call_duration,"(20.0, 25.832]",-0.043083914,0.2784756,-0.8738786,0.051244423,15
avg_call_duration,"(25.832, 36.795]",-0.05762387,0.2755636,-1.1650801,0.051244423,15
avg_call_duration,"(36.795, 72.0]",-0.025735432,0.28197476,-0.5239636,0.051244423,15
avg_call_duration,"(5.981, 8.25]",0.053240377,0.29823616,1.1021763,0.051244423,15
avg_call_duration,"(72.0, 3626.0]",-0.048437934,0.27740112,-0.9813279,0.051244423,15
avg_call_duration,"(8.25, 10.492]",-0.0131964665,0.2845204,-0.26940107,0.051244423,15
handsetrefurbished,no,-0.032313805,0.28064477,-0.6569624,0.05110566,16
handsetrefurbished,yes,0.1676122,0.32271132,3.5496922,0.05110566,16
droppedcalls,"(-0.001, 0.3]",-0.06451348,0.27419034,-1.3024062,0.044467103,17
droppedcalls,"(0.3, 1.3]",-0.045267712,0.27803704,-0.9177357,0.044467103,17
